,D4,D3,D2,D1,D0,None,d
0,0.0,0.0,5.16,22.68,39.89,60.11,2020-03-31
1,0.0,0.0,0.0,22.68,39.89,60.11,2020-03-24
2,0.0,0.0,0.0,22.68,39.88,60.12,2020-03-17
3,0.0,0.0,0.0,22.68,39.88,60.12,2020-03-10
4,0.0,0.0,0.0,19.49,39.88,60.12,2020-03-03
5,0.0,0.0,0.0,19.49,39.88,60.12,2020-02-25
6,0.0,0.0,0.0,19.49,39.95,60.05,2020-02-18
7,0.0,0.0,0.0,19.48,41.5,58.5,2020-02-11
8,0.0,0.0,0.0,24.81,46.15,53.85,2020-02-04
9,0.0,0.0,0.0,27.86,51.5,48.5,2020-01-28
10,0.0,0.0,0.0,33.24,63.93,36.07,2020-01-21
11,0.0,0.0,0.0,16.49,62.41,37.59,2020-01-14
12,0.0,0.0,0.0,19.52,82.09,17.91,2020-01-07
13,0.0,0.0,0.0,31.91,83.4,16.6,2019-12-31
14,0.0,0.0,0.0,31.91,83.4,16.6,2019-12-24
15,0.0,0.0,0.0,31.91,87.19,12.81,2019-12-17
16,0.0,0.0,0.0,0.0,78.1,21.9,2019-12-10
17,0.0,0.0,0.0,0.0,67.89,32.11,2019-12-03
18,0.0,0.0,0.0,0.0,30.17,69.83,2019-11-26
19,0.0,0.0,0.0,0.0,0.0,100.0,2019-11-19
20,0.0,0.0,0.0,0.0,0.0,100.0,2019-11-12
21,0.0,0.0,0.0,0.0,0.28,99.72,2019-11-05
22,0.0,0.0,0.0,0.0,0.28,99.72,2019-10-29
23,0.0,0.0,0.0,0.0,2.15,97.85,2019-10-22
24,0.0,0.0,0.0,0.0,17.35,82.65,2019-10-15
25,0.0,0.0,0.0,0.0,17.35,82.65,2019-10-08
26,0.0,0.0,0.0,1.41,18.22,81.78,2019-10-01
27,0.0,0.0,0.0,7.59,52.41,47.59,2019-09-24
28,0.0,0.0,0.0,31.64,63.63,36.37,2019-09-17
29,0.0,0.0,5.03,50.3,80.26,19.74,2019-09-10
30,0.0,0.0,13.58,57.51,80.26,19.74,2019-09-03
31,0.0,0.0,13.58,57.51,80.26,19.74,2019-08-27
32,0.0,0.0,13.58,57.51,80.26,19.74,2019-08-20
33,0.0,0.0,13.58,57.51,80.26,19.74,2019-08-13
34,0.0,0.0,13.58,60.87,93.12,6.88,2019-08-06
35,0.0,0.0,13.58,60.87,86.27,13.73,2019-07-30
36,0.0,0.0,13.58,60.87,86.27,13.73,2019-07-23
37,0.0,0.0,18.07,60.87,86.17,13.83,2019-07-16
38,0.0,0.0,18.07,55.11,86.17,13.83,2019-07-09
39,0.0,0.0,17.68,54.84,78.21,21.79,2019-07-02
40,0.0,0.0,17.68,54.84,72.15,27.85,2019-06-25
41,0.0,0.0,15.93,54.84,72.15,27.85,2019-06-18
42,0.0,0.0,11.07,44.24,70.82,29.18,2019-06-11
43,0.0,0.0,11.07,44.2,70.82,29.18,2019-06-04
44,0.0,0.0,0.0,43.49,70.82,29.18,2019-05-28
45,0.0,0.0,0.0,42.59,70.82,29.18,2019-05-21
46,0.0,0.0,0.0,34.3,70.82,29.18,2019-05-14
47,0.0,0.0,0.0,20.36,70.82,29.18,2019-05-07
48,0.0,0.0,0.0,10.41,68.53,31.47,2019-04-30
49,0.0,0.0,0.0,10.41,68.53,31.47,2019-04-23
50,0.0,0.0,0.0,11.34,70.82,29.18,2019-04-16
51,0.0,0.0,0.0,13.16,73.72,26.28,2019-04-09
52,0.0,0.0,0.0,13.16,73.94,26.06,2019-04-02
53,0.0,0.0,0.0,8.0,73.94,26.06,2019-03-26
54,0.0,0.0,0.0,3.85,73.08,26.92,2019-03-19
55,0.0,0.0,0.0,3.85,35.5,64.5,2019-03-12
56,0.0,0.0,0.0,4.15,48.77,51.23,2019-03-05
57,0.0,0.0,0.0,4.15,48.77,51.23,2019-02-26
58,0.0,0.0,0.04,9.97,53.21,46.79,2019-02-19
59,0.0,0.0,0.04,10.68,58.78,41.22,2019-02-12
60,0.0,0.0,0.04,10.69,58.78,41.22,2019-02-05
61,0.0,0.0,0.04,10.73,58.8,41.2,2019-01-29
62,0.0,0.0,0.04,10.71,58.8,41.2,2019-01-22
63,0.0,0.0,0.04,23.18,65.79,34.21,2019-01-15
64,0.0,0.0,0.04,23.18,65.79,34.21,2019-01-08
65,0.0,0.0,0.04,23.18,72.29,27.71,2019-01-01
66,0.0,0.0,0.17,30.47,76.38,23.62,2018-12-25
67,0.0,0.0,0.38,32.58,79.62,20.38,2018-12-18
68,0.0,0.0,0.38,32.58,79.62,20.38,2018-12-11
69,0.0,0.0,0.38,32.58,79.62,20.38,2018-12-04
70,0.0,0.0,0.38,32.59,79.69,20.31,2018-11-27
71,0.0,0.0,0.38,32.59,79.69,20.31,2018-11-20
72,0.0,0.0,0.38,20.41,79.69,20.31,2018-11-13
73,0.0,0.0,0.38,20.41,79.69,20.31,2018-11-06
74,0.0,0.0,4.44,33.51,92.0,8.0,2018-10-30
75,0.0,0.0,7.2,39.23,92.0,8.0,2018-10-23
76,0.0,0.0,7.2,39.23,92.0,8.0,2018-10-16
77,0.0,0.0,7.2,39.23,92.0,8.0,2018-10-09
78,0.0,0.0,9.33,46.2,100.0,0.0,2018-10-02
79,0.0,0.0,9.8,48.33,100.0,0.0,2018-09-25
80,0.0,0.0,17.31,60.16,100.0,0.0,2018-09-18
81,0.0,0.0,17.26,60.16,100.0,0.0,2018-09-11
82,0.0,0.0,17.26,54.28,100.0,0.0,2018-09-04
83,0.0,0.0,6.45,46.44,100.0,0.0,2018-08-28
84,0.0,0.0,6.45,46.44,100.0,0.0,2018-08-21
85,0.0,0.0,6.45,46.44,100.0,0.0,2018-08-14
86,0.0,0.0,6.45,46.44,100.0,0.0,2018-08-07
87,0.0,0.0,5.82,29.9,100.0,0.0,2018-07-31
88,0.0,0.0,5.82,28.6,97.19,2.81,2018-07-24
89,0.0,0.0,0.0,25.96,91.87,8.13,2018-07-17
90,0.0,0.0,0.0,17.29,66.86,33.14,2018-07-10
91,0.0,0.0,0.0,11.98,57.36,42.64,2018-07-03
92,0.0,0.0,0.0,11.98,57.19,42.81,2018-06-26
93,0.0,0.0,0.0,0.0,50.9,49.1,2018-06-19
94,0.0,0.0,0.0,0.0,49.64,50.36,2018-06-12
95,0.0,0.0,0.0,0.0,27.14,72.86,2018-06-05
96,0.0,0.0,0.0,0.0,0.16,99.84,2018-05-29
97,0.0,0.0,0.0,0.0,0.16,99.84,2018-05-22
98,0.0,0.0,0.0,0.0,0.17,99.83,2018-05-15
99,0.0,0.0,0.0,0.0,0.17,99.83,2018-05-08
100,0.0,0.0,0.0,0.0,0.11,99.89,2018-05-01
101,0.0,0.0,0.0,0.0,0.11,99.89,2018-04-24
102,0.0,0.0,0.0,0.0,0.11,99.89,2018-04-17
103,0.0,0.0,0.0,0.0,0.15,99.85,2018-04-10
104,0.0,0.0,0.0,0.0,0.15,99.85,2018-04-03
105,0.0,0.0,0.0,0.0,0.15,99.85,2018-03-27
106,0.0,0.0,0.0,0.0,11.72,88.28,2018-03-20
107,0.0,0.0,0.0,0.0,11.72,88.28,2018-03-13
108,0.0,0.0,0.0,0.0,11.72,88.28,2018-03-06
109,0.0,0.0,0.0,0.0,8.33,91.67,2018-02-27
110,0.0,0.0,0.0,0.0,8.33,91.67,2018-02-20
111,0.0,0.0,0.0,0.0,8.33,91.67,2018-02-13
112,0.0,0.0,0.0,0.0,6.44,93.56,2018-02-06
113,0.0,0.0,0.0,0.0,9.48,90.52,2018-01-30
114,0.0,0.0,0.0,0.0,9.48,90.52,2018-01-23
115,0.0,0.0,0.0,0.0,9.48,90.52,2018-01-16
116,0.0,0.0,0.0,0.0,0.0,100.0,2018-01-09
117,0.0,0.0,0.0,0.0,0.0,100.0,2018-01-02
118,0.0,0.0,0.0,0.0,0.0,100.0,2017-12-26
119,0.0,0.0,0.0,0.0,0.0,100.0,2017-12-19
120,0.0,0.0,0.0,0.0,0.0,100.0,2017-12-12
121,0.0,0.0,0.0,0.0,0.0,100.0,2017-12-05
122,0.0,0.0,0.0,0.0,0.0,100.0,2017-11-28
123,0.0,0.0,0.0,0.0,0.0,100.0,2017-11-21
124,0.0,0.0,0.0,0.0,21.01,78.99,2017-11-14
125,0.0,0.0,0.0,7.22,42.18,57.82,2017-11-07
126,0.0,0.0,0.0,14.8,83.1,16.9,2017-10-31
127,0.0,0.0,0.0,14.8,83.1,16.9,2017-10-24
128,0.0,0.0,0.0,56.46,94.99,5.01,2017-10-17
129,0.0,0.0,0.0,63.66,95.03,4.97,2017-10-10
130,0.0,0.0,0.0,63.66,95.03,4.97,2017-10-03
